,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,source
89512,2nBI3iWLhupR7LyAJ5GGkE,Champions,69,334253,1,"['Kanye West', 'Gucci Mane', 'Big Sean', '2 Chainz', 'Travis Scott', 'Yo Gotti', 'Quavo', 'Desiigner']","['5K4W6rqBFWDnAN6FQUkS6x', '13y7CgLHjMVRMDqxdx0Xdo', '0c173mlxpT3dSFRgMO8XPh', '17lzZA2AlOHwCwFALHttmp', '0Y5tJX1MQlPlqiwlOH1tJY', '6Ha4aES39QiVjR0L2lwuwq', '0VRj0yCOv2FXJNP47XQnx5', '7pFeBzX627ff0VnN6bxPR4']",2016-06-10,0.6920000000000001,0.774,6,-2.48,0,0.0876,0.0623,0.0,0.873,0.349,134.952,4,0
89060,6fujklziTHa8uoM5OQSfIo,Black Beatles,76,291893,1,"['Rae Sremmurd', 'Gucci Mane']","['7iZtZyCzp3LItcw1wtPI3D', '13y7CgLHjMVRMDqxdx0Xdo']",2016-08-12,0.794,0.632,0,-6.162999999999999,1,0.0649,0.142,0.0,0.128,0.355,145.92600000000002,4,0
89879,550rQQCGkrTzvp4SfpOPzx,Hallelujah,66,268960,0,['Pentatonix'],['26AHtbjWKiwYzsoGoUZq53'],2016-10-21,0.322,0.377,7,-7.385,0,0.0356,0.45399999999999996,0.0,0.33799999999999997,0.366,118.669,4,0
84737,7Dyq1bhhjknLKEGg4k5NLr,Hold It Against Me,62,228827,0,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],2011-03-28,0.648,0.722,0,-4.813,0,0.0427,0.0103,0.0,0.24,0.389,132.97299999999998,4,0
443633,1fNSSpYkkEWtDIBU1QSEWa,Little Red Wagon,6,204387,0,['Miranda Lambert'],['66lH4jAE7pqPlOlzUKbwA0'],2017-03-10,0.584,0.813,6,-7.221,1,0.0582,0.0297,0.000197,0.272,0.774,95.081,4,0
303412,01ZepwW5W3Z4fwl4bzaHyY,Kick It In The Sticks,63,225747,0,['Brantley Gilbert'],['5q8HGNo0BjLWaTAhRtbwxa'],2010,0.493,0.843,8,-5.9239999999999995,0,0.0707,0.00507,0.0,0.13,0.523,158.028,4,0
93742,4E7ZbuJH3NddjnMWLstkRq,I Am (feat. Flo Milli),76,182465,1,"['Yung Baby Tate', 'Flo Milli']","['3IJ21966TwNZI24MwZHMu4', '08PvCOlef4xdOr20jFSTPd']",2020-12-04,0.932,0.835,1,-3.905,1,0.156,0.105,0.0,0.0847,0.9259999999999999,144.02,4,0
93065,7bCfHiRcfUjG0YVVNUL7Ve,E-GIRLS ARE RUINING MY LIFE!,83,105176,1,"['CORPSE', 'Savage Ga$p']","['7yntSJ6uojO3z6GFUVwhAW', '0x7qiZJaal6j8qS7yCydFk']",2020-09-25,0.614,0.937,1,-7.443,1,0.115,0.00161,0.0013599999999999999,0.10300000000000001,0.386,84.98,4,0
81367,4P7VFiaZb3xrXoqGwZXC3J,Lollipop,71,299333,1,"['Lil Wayne', 'Static Major']","['55Aa2cqylxrFIXC767Z865', '3pbi8H08p95NUZ7m6ybxUV']",2008-06-10,0.8290000000000001,0.428,0,-9.469,1,0.0831,0.055999999999999994,0.00413,0.13699999999999998,0.45,148.075,4,0
304948,6nqvInlnaMzEzaw4s0zbee,Doin' Fine,66,199907,0,['Lauren Alaina'],['1v3tdpIdBSW14rHUfiEVOv'],2017-01-27,0.439,0.752,8,-4.143,1,0.0375,0.11599999999999999,0.0,0.133,0.456,166.051,4,0
